id,order_id,product_id,product_name,quantity,unit_price
5001,1001,P001,TrailBlazer Hiking Boots,1,189.99
5002,1002,P001,TrailBlazer Hiking Boots,1,159.99
5003,1003,P005,Basecamp 4P Tent,1,349.99
5004,1004,P003,Alpine Summit Jacket,1,279.99
5005,1005,P006,Ridgeline 65L Backpack,1,249.99
5006,1005,P010,Trail Kitchen Stove Set,1,89.99
5007,1005,P011,Hydration Bladder 3L,1,34.99
5008,1005,P014,Trekking Poles (Pair),1,49.99
5009,1006,P005,Basecamp 4P Tent,1,299.99
5010,1007,P012,Merino Wool Base Layer Top,1,79.50
5011,1007,P013,Merino Wool Base Layer Bottom,1,55.00
5012,1008,P004,Waterproof Rain Shell,1,129.99
5013,1008,P009,Camp Lantern LED,1,39.99
5014,1008,P015,Quick-Dry Hiking Shorts,1,40.02
5015,1009,P007,Ultralight 2P Tent,1,549.99
5016,1010,P001,TrailBlazer Hiking Boots,1,189.99
5017,1011,P008,Summit Daypack 30L,1,129.99
5018,1012,P009,Camp Lantern LED,1,39.99
5019,1012,P014,Trekking Poles (Pair),1,49.99
